song_375,154.58823529411765,Dreams Shadow,Velvet Voice
song_104,164.13333333333333,Summer Dreams,Synth Collective
song_19,138.92,The Night,Echo Chamber
song_144,144.82608695652175,Heart Dreams #82,Synth Collective
song_225,169.6,The Love,Sound Pioneers
song_387,123.77777777777777,Forever Rhythm,Starlight Symphony
song_346,183.73333333333332,Heart Journey,Analog Hearts
song_169,165.35294117647058,Dreams Journey,Rhythm Republic
song_47,176.58333333333334,The Love #99,Sonic Wave
song_424,188.05263157894737,Dancing Light #13,Sonic Wave
song_206,170.68,City Nights,Crystal Clear
song_410,175.7826086956522,Night Beat,Analog Hearts
song_300,179.47619047619048,The Forever,Acoustic Alliance
song_54,156.05,The Lost,Midnight Serenade
song_123,131.65,City Song,Melody Lane
song_347,168.35714285714286,Winter Nights #93,Synth Collective
song_119,177.41176470588235,The Winter,Analog Hearts
song_458,165.66666666666666,Night Journey #42,Sonic Wave
song_379,126.18181818181819,The Summer,Velvet Voice
song_38,170.63636363636363,Dreams Rhythm #73,Beats Foundation
song_254,168.94117647058823,The Forever,Rhythm Republic
song_465,126.21428571428571,Winter Dreams,Rhythm Republic
song_373,185.85185185185185,City Nights,Digital Frontier
song_253,152.76470588235293,The Summer,Electric Dreams
song_128,170.1904761904762,Forever Song,Acoustic Alliance
song_456,173.96,Forever Song,Velvet Voice
song_477,170.35294117647058,The Dreams,Sunset Boulevard
song_438,215.375,Night Days,The Echoes
song_336,156.26315789473685,Dreams Memories,Acoustic Alliance
song_399,173.3448275862069,Dancing Journey,Analog Hearts
song_246,142.38888888888889,Winter Beat,Rhythm Republic
song_188,139.69230769230768,Summer Journey,Midnight Serenade
song_450,155.94117647058823,The Winter,Acoustic Alliance
song_202,137.6875,Heart Journey,Crystal Clear
song_162,159.89473684210526,The Night #48,Melody Lane
song_419,160.64705882352942,Forever Journey #88,Digital Frontier
song_94,160.76470588235293,Dancing Beat #28,Northern Lights
song_422,197.55555555555554,The Forever,Sonic Wave
song_49,155.0909090909091,Forever Memories #48,Crystal Clear
song_306,181.0,The Dancing,Beats Foundation
song_455,169.52941176470588,Dreams Days,Sonic Wave
song_37,179.6875,City Days,Electric Dreams
song_115,146.45833333333334,Night Rhythm,Echo Chamber
song_238,162.65384615384616,Dreams Nights,Acoustic Alliance
song_406,175.33333333333334,The City,Harmony Central
song_393,153.0,Dreams Shadow #48,Sonic Wave
song_200,149.42105263157896,Dreams Beat,Sonic Wave
song_6,164.52380952380952,The Winter #38,Starlight Symphony
song_377,176.52631578947367,Summer Memories,Electric Dreams
song_62,158.52380952380952,Summer Rhythm,Neon Pulse
song_430,156.23076923076923,The Lost #9,The Echoes
song_135,190.1875,Winter Nights,Analog Hearts
song_392,177.73684210526315,The Night,Crystal Clear
song_493,165.06666666666666,Night Light #51,Crystal Clear
song_310,164.66666666666666,Forever Song #96,Starlight Symphony
song_9,148.94444444444446,Night Days,Rhythm Republic
song_403,160.0,Heart Beat,Starlight Symphony
song_474,141.42105263157896,The Summer,Crystal Clear
song_255,165.0,Dreams Dreams #64,The Echoes
song_82,168.71428571428572,Winter Shadow,Velvet Voice
song_454,148.71428571428572,Forever Light #41,Sound Pioneers
song_329,179.72,Winter Dreams #24,Neon Pulse
song_407,173.9,The Night,Sonic Wave
song_198,186.94444444444446,Lost Light,Sound Pioneers
song_395,171.375,Dancing Shadow #41,Digital Frontier
song_354,134.92307692307693,Lost Shadow,Crystal Clear
song_100,184.35714285714286,City Dreams #95,Analog Hearts
song_60,151.53846153846155,Winter Nights,Neon Pulse
song_85,140.78571428571428,Dreams Dreams,Harmony Central
song_184,155.21428571428572,Winter Memories,Starlight Symphony
song_242,168.30769230769232,City Shadow,Velvet Voice
song_308,163.23529411764707,Summer Light #16,Digital Frontier
song_260,167.25,Love Days,Acoustic Alliance
song_423,150.0,Forever Song,Melody Lane
song_389,207.83870967741936,City Dreams,Melody Lane
song_486,166.68421052631578,Summer Shadow,The Echoes
song_314,209.72727272727272,Heart Song #66,Digital Frontier
song_269,153.42857142857142,Summer Memories,Sunset Boulevard
song_8,129.47619047619048,The Winter #82,Northern Lights
song_479,193.64285714285714,The Summer,Sound Pioneers
song_384,172.63333333333333,Dancing Song,Acoustic Alliance
song_339,148.6875,Love Journey,Sonic Wave
song_205,144.66666666666666,Love Beat,Electric Dreams
song_273,185.25,Winter Memories,Beats Foundation
song_343,195.86666666666667,The Dancing #70,Midnight Serenade
song_301,183.55555555555554,Heart Days,Sunset Boulevard
song_174,199.1875,Night Journey,Neon Pulse
song_147,164.27777777777777,Winter Song #49,Crystal Clear
song_125,159.22727272727272,The Dancing,Analog Hearts
song_207,132.84615384615384,City Dreams,Digital Frontier
song_27,163.0,The Summer #31,Synth Collective
song_63,182.5,Winter Dreams,Acoustic Alliance
song_411,182.25,The Lost,Digital Frontier
song_126,153.84,The Heart,Rhythm Republic
